customer_id,first_item_added,last_item_added,discount_applied,item_category,number_of_items,total_price,shipping_region,abandoned_checkout,reason_for_abandonment
381635,2023-06-26 12:40:39,2023-06-26 12:44:39,True,"Shoes, Accessories",4,,Latin America,True,Price Comparison
631225,2023-06-21 22:11:46,2023-06-21 23:02:46,True,"Accessories, Shoes, Clothing",4,$259.16,Europe,False,
479018,2023-06-14 13:38:38,2023-06-14 14:16:38,False,"Shoes, Clothing",3,$65.44,Europe,True,Price Comparison
829168,2023-06-27 01:34:03,2023-06-27 01:43:03,True,Clothing,8,$360.16,Asia,False,
281218,2023-07-09 18:00:46,2023-07-09 18:30:46,True,Shoes,4,$199.11,Others,True,Price Comparison
429779,2023-06-14 04:01:58,2023-06-14 04:56:58,False,Shoes,2,$74.34,,True,Payment Issues
392173,2023-07-06 10:01:23,2023-07-06 10:01:23,True,Shoes,1,$68.83,North America,False,
62088,2023-07-07 13:38:43,2023-07-07 14:31:43,False,Clothing,2,$178.86,Africa,False,
159672,2023-07-08 05:24:59,2023-07-08 05:25:59,False,Clothing,4,$181.53,North America,True,Payment Issues
62480,2023-06-22 14:36:28,2023-06-22 14:40:28,True,Accessories,5,$353.79,Europe,True,Price Comparison
451746,2023-07-08 04:17:32,2023-07-08 05:02:32,False,"Shoes, Accessories, Clothing",5,$104.63,North America,True,Price Comparison
615414,2023-06-28 11:40:06,2023-06-28 12:33:06,False,"Clothing, Accessories",2,$109.78,Latin America,True,Price Comparison
4933,2023-07-08 11:24:46,2023-07-08 11:24:46,True,Accessories,1,$24.07,,True,Price Comparison
412662,2023-07-06 11:32:29,2023-07-06 12:15:29,False,Shoes,3,,Africa,False,
381679,2023-06-30 04:11:34,2023-06-30 05:05:34,True,Shoes,5,$145.92,Latin America,True,Payment Issues
136622,2023-06-29 19:59:00,2023-06-29 19:59:00,True,Accessories,1,$65.04,Asia,True,Price Comparison
217293,2023-06-29 21:38:52,2023-06-29 22:26:52,True,"Shoes, Accessories, Clothing",4,$158.01,Others,True,Price Comparison
944154,2023-06-29 10:38:13,2023-06-29 10:38:13,False,Clothing,1,$93.48,Europe,True,High Shipping Costs
813691,2023-07-07 11:22:18,2023-07-07 11:22:18,True,Clothing,1,$28.84,North America,True,Price Comparison
397502,2023-06-12 22:28:46,2023-06-12 22:37:46,False,"Clothing, Shoes, Accessories",4,$265.54,Africa,True,Price Comparison
571710,2023-07-06 02:39:58,2023-07-06 02:39:58,False,Accessories,1,$92.92,Africa,True,Payment Issues
202656,2023-06-27 01:20:20,2023-06-27 02:06:20,True,"Clothing, Shoes",6,,Others,False,
747057,2023-06-24 19:28:52,2023-06-24 20:12:52,False,Accessories,5,$68.83,North America,True,Price Comparison
384601,2023-06-22 18:59:32,2023-06-22 18:59:32,False,Shoes,1,$20.27,Latin America,False,
90744,2023-07-04 06:28:42,2023-07-04 06:28:42,False,Accessories,1,$32.33,Africa,True,Price Comparison
655664,2023-07-03 11:54:14,2023-07-03 11:54:14,True,Accessories,1,$48.26,Asia,True,Price Comparison
837123,2023-07-09 06:10:42,2023-07-09 06:10:42,True,Shoes,1,$25.85,Asia,True,Price Comparison
105396,2023-06-30 13:53:31,2023-06-30 14:21:31,True,Accessories,4,$209.61,Others,False,
542098,2023-06-16 20:18:23,2023-06-16 20:45:23,False,Clothing,3,$206.0,Europe,True,Payment Issues
8577,2023-07-11 11:07:33,2023-07-11 11:07:33,False,Accessories,1,$100.83,Asia,True,Changed Mind
430169,2023-07-03 12:39:00,2023-07-03 12:53:00,False,"Clothing, Accessories, Shoes",4,$139.35,Europe,True,Price Comparison
764573,2023-06-21 22:49:19,2023-06-21 22:52:19,True,"Accessories, Shoes",3,$251.64,Europe,True,Price Comparison
964851,2023-06-16 01:23:00,2023-06-16 02:21:00,True,Clothing,4,$44.9,North America,True,Price Comparison
710692,2023-06-22 14:53:07,2023-06-22 15:45:07,True,Shoes,4,$358.09,Africa,True,High Shipping Costs
946385,2023-06-24 16:06:52,2023-06-24 16:06:52,True,Clothing,1,$33.42,North America,True,Payment Issues
35131,2023-06-30 06:28:27,2023-06-30 07:10:27,True,"Clothing, Shoes, Accessories",5,$101.15,Others,True,Price Comparison
511404,2023-06-18 12:03:14,2023-06-18 12:41:14,False,"Clothing, Accessories",5,$332.49,Europe,True,Price Comparison
371983,2023-07-09 13:25:15,2023-07-09 14:11:15,True,"Clothing, Shoes, Accessories",5,$97.84,Latin America,True,Price Comparison
675737,2023-07-07 10:37:56,2023-07-07 11:21:56,False,Clothing,3,$136.12,Others,True,Price Comparison
663550,2023-06-18 08:42:08,2023-06-18 09:12:08,True,Shoes,3,$38.08,North America,True,Payment Issues
338448,2023-07-05 05:13:16,2023-07-05 06:13:16,False,"Shoes, Accessories, Clothing",3,$228.91,Asia,True,Payment Issues
741175,2023-07-08 20:06:57,2023-07-08 20:33:57,True,Shoes,5,$368.96,Latin America,True,Price Comparison
607766,2023-07-01 21:54:35,2023-07-01 22:52:35,True,Shoes,4,$430.69,Others,True,Price Comparison
942303,2023-06-21 19:53:10,2023-06-21 20:16:10,False,Shoes,6,$445.55,Africa,False,
267952,2023-06-13 14:15:02,2023-06-13 14:46:02,False,Shoes,2,$173.32,Asia,True,High Shipping Costs
